,RMSE,MAE,R2
XGBoost,0.6222304162821473,0.4346694296149796,0.8320775365428101
Random Forest,0.6240858839467655,0.43338976178632765,0.8310745664373504
LightGBM,0.6303948473136846,0.44693387892251046,0.8276419259237148
CatBoost,0.6679862967821525,0.5002810064779079,0.8064730598751912
Ridge,1.1467221227878102,0.848168687849477,0.42967461089592973
